flow_id,run_id,scenario,flow_key,src_ip,src_port,dst_ip,dst_port,protocol,start_ts,end_ts,duration,packet_count,byte_count,packets_per_second,bytes_per_second,min_packet_size,max_packet_size,mean_packet_size,std_packet_size,iat_mean,iat_std,iat_min,iat_max,iat_count,tcp_flags,tcp_syn_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_ack_count,tcp_urg_count,dns_packet_count,dns_qname_len_mean,dns_qname_len_max,dns_qname_entropy_mean,dns_qname_entropy_max,dns_qtype_mode,tls_record_count,tls_version_mode,tls_content_type_mode,tls_record_len_mean,tls_record_len_max,tls_payload_entropy_mean,iat_cv,tcp_syn_ratio,tcp_flag_diversity,payload_bytes_total,payload_ratio,payload_entropy_mean,payload_entropy_max,direction
benign__run_001__0010,run_001,benign,10.0.0.197:0->10.0.1.236:0/icmp,10.0.0.197,0,10.0.1.236,0,icmp,1726135212.742843,1726135214.588665,1.845822,7,196,3.792348,106.185748,28,28,28.000000,0.000000,0.307637,0.153476,0.040085,0.490910,6,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.498886,0.000000,0,0,0.000000,0.000000,0.000000,outbound
benign__run_001__0011,run_001,benign,10.0.0.99:27636->10.0.1.22:80/tcp,10.0.0.99,27636,10.0.1.22,80,tcp,1726135214.765326,1726135216.658418,1.893092,9,3899,4.754127,2059.593602,40,1030,433.222222,353.863683,0.236636,0.110691,0.056946,0.389432,8,"A,F,P,S",1,1,0,7,8,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.467768,0.111111,4,3539,0.907669,5.663146,5.931941,outbound
benign__run_001__0012,run_001,benign,10.0.0.110:6240->10.0.1.110:443/tcp,10.0.0.110,6240,10.0.1.110,443,tcp,1726135216.155262,1726135218.159454,2.004192,10,4491,4.989542,2240.803149,40,1190,449.100000,373.013525,0.222688,0.123953,0.039773,0.419646,9,"A,F,P,S",1,1,0,8,9,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.556623,0.100000,4,4091,0.910933,5.830104,5.938126,outbound
benign__run_001__0013,run_001,benign,10.0.0.49:23417->10.0.1.230:53/udp,10.0.0.49,23417,10.0.1.230,53,udp,1726135216.579362,1726135216.640939,0.061577,3,124,48.719425,2013.736225,40,43,41.333333,1.247219,0.030789,0.001052,0.029737,0.031840,2,,0,0,0,0,0,0,3,9.333333,11,2.226303,2.521641,1,0,0,0,0.000000,0,0.000000,0.034154,0.000000,0,40,0.322581,2.969709,3.180833,outbound
benign__run_001__0014,run_001,benign,10.0.0.203:0->10.0.1.44:0/icmp,10.0.0.203,0,10.0.1.44,0,icmp,1726135218.200380,1726135219.362173,1.161793,5,140,4.303693,120.503395,28,28,28.000000,0.000000,0.290448,0.148976,0.097995,0.474793,4,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.512917,0.000000,0,0,0.000000,0.000000,0.000000,outbound
benign__run_001__0015,run_001,benign,10.0.0.74:33044->10.0.1.254:443/tcp,10.0.0.74,33044,10.0.1.254,443,tcp,1726135219.123569,1726135221.244115,2.120546,8,3773,3.772613,1779.258652,40,1205,471.625000,402.021124,0.302935,0.117695,0.169101,0.455302,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.388515,0.125000,4,3453,0.915187,5.685888,5.934406,outbound
benign__run_001__0016,run_001,benign,10.0.0.74:22959->10.0.1.146:53/udp,10.0.0.74,22959,10.0.1.146,53,udp,1726135220.227041,1726135220.452252,0.225211,7,329,31.081976,1460.852883,39,57,47.000000,5.291503,0.037535,0.032479,0.002687,0.099462,6,,0,0,0,0,0,0,7,15.000000,25,2.867196,3.546594,1,0,0,0,0.000000,0,0.000000,0.865288,0.000000,0,133,0.404255,3.485287,3.995238,outbound
benign__run_001__0017,run_001,benign,10.0.0.2:40184->10.0.1.38:53/udp,10.0.0.2,40184,10.0.1.38,53,udp,1726135220.287725,1726135220.294884,0.007159,2,96,279.368835,13409.704066,41,55,48.000000,7.000000,0.007159,0.000000,0.007159,0.007159,1,,0,0,0,0,0,0,2,16.000000,23,3.244618,3.681881,1,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0,40,0.416667,3.606568,4.032303,outbound
benign__run_001__0018,run_001,benign,10.0.0.212:46099->10.0.1.23:53/udp,10.0.0.212,46099,10.0.1.23,53,udp,1726135220.608173,1726135220.954370,0.346197,6,274,17.331166,791.456594,38,55,45.666667,5.763872,0.069239,0.016693,0.041244,0.084127,5,,0,0,0,0,0,0,6,13.666667,23,2.649068,3.536887,28,0,0,0,0.000000,0,0.000000,0.241084,0.000000,0,106,0.386861,3.346980,4.078419,outbound
benign__run_001__0019,run_001,benign,10.0.0.225:6575->10.0.1.17:53/udp,10.0.0.225,6575,10.0.1.17,53,udp,1726135220.857426,1726135221.175414,0.317988,8,392,25.158170,1232.750312,40,54,49.000000,5.477226,0.045427,0.022983,0.013720,0.076812,7,,0,0,0,0,0,0,8,17.000000,22,3.079853,3.546594,28,0,0,0,0.000000,0,0.000000,0.505934,0.000000,0,168,0.428571,3.641253,4.074876,outbound
ddos__run_001__0000,run_001,ddos,10.0.0.20:11250->10.0.1.107:80/tcp,10.0.0.20,11250,10.0.1.107,80,tcp,1726135200.899204,1726135201.330595,0.431391,19,760,44.043571,1761.742824,40,40,40.000000,0.000000,0.023966,0.015023,0.001872,0.049833,18,S,19,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.626839,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0001,run_001,ddos,10.0.0.21:42779->10.0.1.107:53/udp,10.0.0.21,42779,10.0.1.107,53,udp,1726135200.911581,1726135201.292732,0.381151,19,532,49.849015,1395.772422,28,28,28.000000,0.000000,0.021175,0.015851,0.001279,0.046059,18,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.748581,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0002,run_001,ddos,10.0.0.248:40722->10.0.1.107:53/udp,10.0.0.248,40722,10.0.1.107,53,udp,1726135201.655669,1726135202.064309,0.408640,14,392,34.259992,959.279778,28,28,28.000000,0.000000,0.031434,0.011800,0.007508,0.046026,13,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.375386,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0003,run_001,ddos,10.0.0.108:25584->10.0.1.107:80/tcp,10.0.0.108,25584,10.0.1.107,80,tcp,1726135202.107410,1726135202.461953,0.354543,13,520,36.666924,1466.676942,40,40,40.000000,0.000000,0.029545,0.012424,0.013559,0.048152,12,S,13,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.420519,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0004,run_001,ddos,10.0.0.17:37666->10.0.1.107:53/udp,10.0.0.17,37666,10.0.1.107,53,udp,1726135203.325838,1726135203.814974,0.489136,16,448,32.710740,915.900727,28,28,28.000000,0.000000,0.032609,0.015217,0.003741,0.048760,15,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.466661,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0005,run_001,ddos,10.0.0.64:35051->10.0.1.107:80/tcp,10.0.0.64,35051,10.0.1.107,80,tcp,1726135203.412041,1726135203.779854,0.367813,15,600,40.781581,1631.263223,40,40,40.000000,0.000000,0.026272,0.015617,0.001649,0.048678,14,S,15,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.594442,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0006,run_001,ddos,10.0.0.64:51207->10.0.1.107:53/udp,10.0.0.64,51207,10.0.1.107,53,udp,1726135204.539595,1726135204.990168,0.450573,19,532,42.168508,1180.718234,28,28,28.000000,0.000000,0.025032,0.015344,0.001326,0.047313,18,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.612973,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0007,run_001,ddos,10.0.0.21:53198->10.0.1.107:80/tcp,10.0.0.21,53198,10.0.1.107,80,tcp,1726135204.650707,1726135204.795587,0.144880,10,400,69.022613,2760.904503,40,40,40.000000,0.000000,0.016098,0.014021,0.003162,0.043278,9,S,10,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.871004,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0008,run_001,ddos,10.0.0.248:28232->10.0.1.107:80/tcp,10.0.0.248,28232,10.0.1.107,80,tcp,1726135205.298124,1726135205.522795,0.224671,11,440,48.960505,1958.420185,40,40,40.000000,0.000000,0.022467,0.012823,0.006608,0.041859,10,S,11,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.570757,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0009,run_001,ddos,10.0.0.50:2255->10.0.1.107:53/udp,10.0.0.50,2255,10.0.1.107,53,udp,1726135205.404069,1726135205.592692,0.188623,10,280,53.015818,1484.442894,28,28,28.000000,0.000000,0.020958,0.012974,0.001810,0.039049,9,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.619034,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0010,run_001,ddos,10.0.0.81:64448->10.0.1.32:443/tcp,10.0.0.81,64448,10.0.1.32,443,tcp,1726135206.380657,1726135207.608747,1.228090,7,280,5.699908,227.996311,40,40,40.000000,0.000000,0.204682,0.143397,0.028798,0.456569,6,"A,F,P,S",1,1,0,5,6,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.700586,0.142857,4,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0011,run_001,ddos,10.0.0.151:65368->10.0.1.107:80/tcp,10.0.0.151,65368,10.0.1.107,80,tcp,1726135206.532595,1726135206.976475,0.443880,15,600,33.792911,1351.716433,40,40,40.000000,0.000000,0.031706,0.014552,0.006293,0.046376,14,S,15,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.458978,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0012,run_001,ddos,10.0.0.51:26757->10.0.1.107:53/udp,10.0.0.51,26757,10.0.1.107,53,udp,1726135206.575209,1726135206.921053,0.345844,15,420,43.372152,1214.420268,28,28,28.000000,0.000000,0.024703,0.016251,0.002610,0.048520,14,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.657835,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0013,run_001,ddos,10.0.0.108:16413->10.0.1.107:53/udp,10.0.0.108,16413,10.0.1.107,53,udp,1726135206.657207,1726135207.004572,0.347365,13,364,37.424622,1047.889402,28,28,28.000000,0.000000,0.028947,0.010656,0.009047,0.048543,12,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.368114,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0014,run_001,ddos,10.0.0.103:44153->10.0.1.107:80/tcp,10.0.0.103,44153,10.0.1.107,80,tcp,1726135206.811268,1726135207.167078,0.355810,15,600,42.157340,1686.293592,40,40,40.000000,0.000000,0.025415,0.012999,0.001154,0.048018,14,S,15,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.511455,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0015,run_001,ddos,10.0.0.104:35978->10.0.1.91:80/tcp,10.0.0.104,35978,10.0.1.91,80,tcp,1726135207.235665,1726135208.804125,1.568460,7,280,4.462976,178.519058,40,40,40.000000,0.000000,0.261410,0.117205,0.122718,0.429634,6,"A,F,P,S",1,1,0,5,6,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.448358,0.142857,4,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0016,run_001,ddos,10.0.0.17:58162->10.0.1.107:80/tcp,10.0.0.17,58162,10.0.1.107,80,tcp,1726135207.477046,1726135207.765159,0.288113,11,440,38.179480,1527.179215,40,40,40.000000,0.000000,0.028811,0.014519,0.001664,0.049107,10,S,11,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.503937,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0017,run_001,ddos,10.0.0.51:15869->10.0.1.107:80/tcp,10.0.0.51,15869,10.0.1.107,80,tcp,1726135207.797916,1726135208.034234,0.236318,11,440,46.547427,1861.897073,40,40,40.000000,0.000000,0.023632,0.015531,0.001271,0.047374,10,S,11,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.657209,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0018,run_001,ddos,10.0.0.20:42013->10.0.1.107:53/udp,10.0.0.20,42013,10.0.1.107,53,udp,1726135208.462853,1726135208.751784,0.288931,15,420,51.915486,1453.633598,28,28,28.000000,0.000000,0.020638,0.012000,0.004857,0.048375,14,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.581460,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0019,run_001,ddos,10.0.0.50:48623->10.0.1.107:80/tcp,10.0.0.50,48623,10.0.1.107,80,tcp,1726135208.831767,1726135209.347811,0.516044,20,800,38.756393,1550.255701,40,40,40.000000,0.000000,0.027160,0.014835,0.001839,0.046714,19,S,20,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.546219,1.000000,1,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0020,run_001,ddos,10.0.0.151:49596->10.0.1.107:53/udp,10.0.0.151,49596,10.0.1.107,53,udp,1726135208.989922,1726135209.348072,0.358150,16,448,44.674019,1250.872521,28,28,28.000000,0.000000,0.023877,0.011666,0.002872,0.046663,15,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.488596,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0021,run_001,ddos,10.0.0.103:40764->10.0.1.107:53/udp,10.0.0.103,40764,10.0.1.107,53,udp,1726135209.008300,1726135209.495095,0.486795,18,504,36.976555,1035.343529,28,28,28.000000,0.000000,0.028635,0.015586,0.007813,0.049607,17,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.544313,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0022,run_001,ddos,10.0.0.44:40746->10.0.1.159:53/udp,10.0.0.44,40746,10.0.1.159,53,udp,1726135209.114092,1726135209.169044,0.054952,4,171,72.790923,3111.811979,39,47,42.750000,2.861381,0.018317,0.012685,0.001530,0.032188,3,,0,0,0,0,0,0,4,10.750000,15,2.773496,3.022055,1,0,0,0,0.000000,0,0.000000,0.692507,0.000000,0,59,0.345029,3.329353,3.642150,outbound
ddos__run_001__0023,run_001,ddos,10.0.0.96:0->10.0.1.147:0/icmp,10.0.0.96,0,10.0.1.147,0,icmp,1726135210.229892,1726135210.697286,0.467394,3,84,6.418569,179.719942,28,28,28.000000,0.000000,0.233697,0.160758,0.072939,0.394455,2,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.687891,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0024,run_001,ddos,10.0.0.30:0->10.0.1.239:0/icmp,10.0.0.30,0,10.0.1.239,0,icmp,1726135212.506247,1726135212.717676,0.211429,2,56,9.459446,264.864477,28,28,28.000000,0.000000,0.211429,0.000000,0.211429,0.211429,1,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0025,run_001,ddos,10.0.0.176:60350->10.0.1.196:80/tcp,10.0.0.176,60350,10.0.1.196,80,tcp,1726135215.934073,1726135216.558323,0.624250,6,240,9.611535,384.461394,40,40,40.000000,0.000000,0.124850,0.094810,0.028577,0.247750,5,"A,F,P,S",1,1,0,4,5,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.759393,0.166667,4,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0026,run_001,ddos,10.0.0.172:9692->10.0.1.98:80/tcp,10.0.0.172,9692,10.0.1.98,80,tcp,1726135221.359944,1726135222.308139,0.948195,6,240,6.327812,253.112498,40,40,40.000000,0.000000,0.189639,0.147687,0.064208,0.464652,5,"A,F,P,S",1,1,0,4,5,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.778781,0.166667,4,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0027,run_001,ddos,10.0.0.137:56570->10.0.1.136:80/tcp,10.0.0.137,56570,10.0.1.136,80,tcp,1726135221.607285,1726135222.655490,1.048205,5,200,4.770060,190.802390,40,40,40.000000,0.000000,0.262051,0.128464,0.087562,0.435302,4,"A,F,P,S",1,1,0,3,4,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.490225,0.200000,4,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0028,run_001,ddos,10.0.0.73:0->10.0.1.180:0/icmp,10.0.0.73,0,10.0.1.180,0,icmp,1726135221.741874,1726135221.897443,0.155569,2,56,12.856025,359.968711,28,28,28.000000,0.000000,0.155569,0.000000,0.155569,0.155569,1,,0,0,0,0,0,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,outbound
ddos__run_001__0029,run_001,ddos,10.0.0.98:4009->10.0.1.191:80/tcp,10.0.0.98,4009,10.0.1.191,80,tcp,1726135222.189531,1726135223.638898,1.449367,5,200,3.449782,137.991293,40,40,40.000000,0.000000,0.362342,0.082570,0.251261,0.476684,4,"A,F,P,S",1,1,0,3,4,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.227878,0.200000,4,0,0.000000,0.000000,0.000000,outbound
c2_beacon__run_001__0000,run_001,c2_beacon,10.0.0.234:9143->10.0.1.118:443/tcp,10.0.0.234,9143,10.0.1.118,443,tcp,1726135200.683438,1726135221.384215,20.700777,8,1182,0.386459,57.099306,40,224,147.750000,72.103658,2.957254,0.134972,2.797389,3.174927,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.045641,0.125000,4,862,0.729272,5.581968,5.745004,outbound
c2_beacon__run_001__0001,run_001,c2_beacon,10.0.0.222:40231->10.0.1.118:443/tcp,10.0.0.222,40231,10.0.1.118,443,tcp,1726135201.827214,1726135222.759571,20.932357,8,921,0.382183,43.998867,40,186,115.125000,51.135696,2.990337,0.143095,2.858370,3.215581,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.047853,0.125000,4,601,0.652552,5.401037,5.685004,outbound
c2_beacon__run_001__0002,run_001,c2_beacon,10.0.0.131:22411->10.0.1.118:443/tcp,10.0.0.131,22411,10.0.1.118,443,tcp,1726135202.750417,1726135223.529425,20.779008,8,998,0.385004,48.029242,40,208,124.750000,57.063013,2.968430,0.158681,2.769003,3.216672,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.053456,0.125000,4,678,0.679359,5.448585,5.694272,outbound
c2_beacon__run_001__0003,run_001,c2_beacon,10.0.0.170:54904->10.0.1.118:443/tcp,10.0.0.170,54904,10.0.1.118,443,tcp,1726135203.040943,1726135223.486419,20.445476,8,1210,0.391285,59.181796,40,230,151.250000,71.990885,2.920782,0.086816,2.804525,3.049819,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.029723,0.125000,4,890,0.735537,5.575867,5.784738,outbound
c2_beacon__run_001__0004,run_001,c2_beacon,10.0.0.92:4230->10.0.1.118:443/tcp,10.0.0.92,4230,10.0.1.118,443,tcp,1726135203.180586,1726135223.927802,20.747216,8,1154,0.385594,55.621921,40,238,144.250000,71.611364,2.963888,0.159330,2.778018,3.232875,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.053757,0.125000,4,834,0.722704,5.579494,5.765032,outbound
c2_beacon__run_001__0005,run_001,c2_beacon,10.0.0.118:44392->10.0.1.118:443/tcp,10.0.0.118,44392,10.0.1.118,443,tcp,1726135204.127065,1726135224.589616,20.462551,8,927,0.390958,45.302269,40,221,115.875000,55.340847,2.923222,0.148934,2.768686,3.233984,7,"A,F,P,S",1,1,0,6,7,0,0,0.000000,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.050949,0.125000,4,607,0.654800,5.410347,5.792178,outbound
c2_beacon__run_001__0006,run_001,c2_beacon,10.0.0.10:48893->10.0.1.24:53/udp,10.0.0.10,48893,10.0.1.24,53,udp,1726135204.916986,1726135204.951686,0.034700,2,103,57.637026,2968.306826,51,52,51.500000,0.500000,0.034700,0.000000,0.034700,0.034700,1,,0,0,0,0,0,0,2,19.500000,20,3.411616,3.500000,28,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0,47,0.456311,3.953178,3.970176,outbound
c2_beacon__run_001__0007,run_001,c2_beacon,10.0.0.78:15874->10.0.1.114:53/udp,10.0.0.78,15874,10.0.1.114,53,udp,1726135205.342206,1726135205.392732,0.050526,2,88,39.583656,1741.680872,39,49,44.000000,5.000000,0.050526,0.000000,0.050526,0.050526,1,,0,0,0,0,0,0,2,12.000000,17,2.636070,2.950212,28,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0,32,0.363636,3.310817,3.594466,outbound
